"Code","Description"
"25","Vaisala RS41/MARWIN MW32 (Finland)"
"26","Meteolabor SRS-C34/Argus 37 (Switzerland)"
"27","Not vacant"
"28","AVK - AK2-02 (Russian Federation)"
"29","MARL-A or Vektor-M - AK2-02 (Russian Federation)"
"30","Meisei RS-06G (Japan)"
"31","Taiyuan GTS1-1/GFE(L) (China )"
"32","Shanghai GTS1/GFE(L) (China)"
"33","Nanjing GTS1-2/GFE(L) (China)"
"34","iMet-4 GPS radiosonde (USA)"
"35","Meisei iMS-100 GPS radiosonde w/thermistor sensor, capacitance relative humidity sensor, and derived pressure from GPS height (Japan)"
"36","Meisei iMDS-17 GPS dropsonde w/thermistor sensor, capacitance relative humidity sensor, and capacitance pressure sensor (Japan)"
"37","Not vacant"
"38","WEATHEX WxR-301D with derived pressure from GPS (Republic of Korea)"
"41","Vaisala RS41 with pressure derived from GPS height/DigiCORA MW41 (Finland)"
"42","Vaisala RS41 with pressure derived from GPS height/AUTOSONDE (Finland)"
"43","NanJing Daqiao XGP-3G (China)*"
"44","TianJin HuaYunTianYi GTS(U)1 (China)*"
"45","Beijing Changfeng CF-06 (China)*"
"46","Shanghai Changwang GTS3 (China)*"
"47","Not vacant"
"48","PAZA-22M/MARL-A"
"49","Not vacant"
"50","Meteolabor SRS-C50/Argus (Switzerland)"
"51","Not vacant"
"52","Vaisala RS92-NGP/Intermet IMS-2000 (United States)"
"53","AVK - I-2012 (Russian Federation)"
"54","Graw DFM-17 (Germany)"
"60","MARL-A or Vektor-M - I-2012 (Russian Federation)"
"61","Not vacant"
"62","MARL-A or Vektor-M - MRZ-3MK (Russian Federation)"
"63","Modem M20 radiosonde w/thermistor sensor, capacitance relative humidity sensor, and derived pressure from GPS height (France)"
"64","Modem PilotSonde GPS radiosonde (France)"
"65","Meteosis MTS-01 (Turkiye)"
"66","Vacant"
"73","МARL-A (Russian Federation) - ASPAN-15 (Kazakhstan)"
"77","Modem GPSonde M10 (France)"
"82","Lockheed Martin LMS-6 w/chip thermistor; external boom mounted polymer capacitive relative humidity sensor; capacitive pressure sensor and GPS wind"
"83","Vaisala RS92-D/Intermet IMS 1500 w/silicon capacitive pressure sensor, capacitive wire temperature sensor, twin thin-film heated polymer capacitive relative humidity sensor and RDF wind"
"84","iMet-54/iMet-3200/3400 GPS radiosonde with derived pressure from GPS height (South Africa)"
